id_szkoly,lat,lng,geolocalizer_count,location_type
14092,51.56238519999999,16.69165,1,APPROXIMATE
14093,51.056949100000004,16.189224199999998,1,ROOFTOP
14094,51.05194969999999,16.194816199999998,1,ROOFTOP
14095,51.059808200000006,16.1866375,1,ROOFTOP
14096,51.0531726,16.1937633,1,ROOFTOP
14097,50.920371,16.098333,1,ROOFTOP
14098,51.08389529999999,16.117709599999998,1,APPROXIMATE
14099,51.0626182,16.313152300000002,1,GEOMETRIC_CENTER
14100,51.004560999999995,16.1484471,1,APPROXIMATE
14102,50.7815064,15.743296599999999,1,RANGE_INTERPOLATED
14103,50.775606599999996,15.754942000000002,1,RANGE_INTERPOLATED
14104,50.78153629999999,15.742845800000001,1,RANGE_INTERPOLATED
14105,50.789978999999995,15.834464,1,ROOFTOP
14106,50.84956,15.598510000000001,1,APPROXIMATE
14107,50.830628499999996,15.527318,1,ROOFTOP
14108,50.830628499999996,15.527318,1,ROOFTOP
14109,50.844289,15.5381114,1,ROOFTOP
14110,50.844289,15.5381114,1,ROOFTOP
14111,50.8858982,15.9324288,1,GEOMETRIC_CENTER
14112,50.924139600000004,15.7365136,3,GEOMETRIC_CENTER
14113,50.8390163,15.842975,1,APPROXIMATE
14114,50.85167,15.61674,1,GEOMETRIC_CENTER
14115,50.820957299999996,15.716723499999999,1,GEOMETRIC_CENTER
14116,50.910556,15.542907699999999,1,APPROXIMATE
14117,50.7714027,16.026533999999998,1,GEOMETRIC_CENTER
14118,50.7714027,16.026533999999998,1,GEOMETRIC_CENTER
14119,50.779093599999996,16.0381123,2,GEOMETRIC_CENTER
14120,50.7742977,16.0062265,1,GEOMETRIC_CENTER
14121,50.77977449999999,16.0256937,1,GEOMETRIC_CENTER
14122,50.73404799999999,16.0629773,1,GEOMETRIC_CENTER
14123,50.786811,15.9552813,2,APPROXIMATE
14124,50.699697,15.998256,1,ROOFTOP
14125,50.6689473,16.0674081,1,GEOMETRIC_CENTER
14126,50.851522700000004,16.016282500000006,1,APPROXIMATE
14127,50.4036409,16.3872289,1,ROOFTOP
14128,50.439507,16.6722984,1,ROOFTOP
14129,50.4366506,16.6525177,1,RANGE_INTERPOLATED
14130,50.4371158,16.6549563,1,ROOFTOP
14131,50.43317889999999,16.6603881,1,ROOFTOP
14132,50.436592600000004,16.6610592,1,ROOFTOP
14133,50.45659389999999,16.6776249,1,RANGE_INTERPOLATED
14134,50.4541277,16.6636812,1,ROOFTOP
14136,50.437697299999996,16.2435808,1,ROOFTOP
14137,50.474548999999996,16.2779758,1,ROOFTOP
14138,50.4399848,16.2483705,1,ROOFTOP
14139,50.4380063,16.2127415,1,ROOFTOP
14145,50.3939635,16.522189,1,ROOFTOP
14146,50.4122032,16.5123497,1,ROOFTOP
