id_szkoly,egz_norm_sr_hum,egz_norm_std_hum,ewd_min90_hum,ewd_max90_hum,egz_norm_sr_mp,egz_norm_std_mp,ewd_min90_mp,ewd_max90_mp,gwiazdki_pow
14938,96.93,13.56,-2.93,-0.6,98.26,13.57,-1.41,0.82,3.0
14939,94.85,14.51,-2.78,-1.32,93.75,14.1,-3.84,-2.44,1.0
14940,97.51,13.47,-0.84,1.13,95.27,13.27,-3.15,-1.26,2.0
14941,97.92,13.9,-3.18,-0.79,100.48,13.22,-0.25,2.04,3.0
14942,99.17,14.05,2.43,4.2,96.48,13.63,0.04,1.74,3.0
14943,100.52,14.53,1.85,3.92,98.53,13.87,0.34,2.33,3.0
14944,97.1,13.89,-1.11,0.75,98.94,13.72,1.2,2.99,3.0
14945,96.81,13.74,-0.02,1.75,95.65,13.4,-0.77,0.93,2.0
14946,101.4,14.4,1.65,3.16,101.75,14.36,2.14,3.59,4.0
14947,99.88,13.0,1.5,3.55,97.5,13.14,-0.27,1.69,3.0
14948,100.1,13.5,-0.01,1.81,100.04,13.65,0.16,1.9,3.0
14949,96.02,13.85,-2.2,-0.37,96.07,13.81,-2.11,-0.36,2.0
14950,102.51,13.64,1.03,2.56,100.17,13.82,-1.11,0.35,4.0
14951,98.51,14.63,0.5,2.06,95.91,14.33,-1.96,-0.46,3.0
14952,97.11,14.05,-3.74,-1.51,97.18,13.81,-3.59,-1.45,3.0
14953,94.44,14.17,-4.1,-1.85,93.9,13.85,-4.47,-2.32,1.0
14954,104.43,13.76,3.62,5.86,100.84,14.02,-0.06,2.09,5.0
14955,102.39,14.45,3.83,6.16,97.87,14.17,-0.39,1.85,3.0
14956,101.18,13.65,2.25,4.71,99.81,13.34,1.16,3.53,4.0
14957,100.58,14.41,0.74,2.7,99.61,14.21,-0.06,1.82,3.0
14958,96.14,14.27,-1.89,0.77,93.35,13.92,-4.39,-1.84,2.0
14959,95.38,13.55,-0.05,2.0,96.08,13.24,0.9,2.86,2.0
14960,99.8,13.84,-2.21,-0.43,102.27,13.84,0.2,1.91,4.0
14961,100.32,15.01,-0.43,1.39,99.63,15.1,-1.46,0.29,3.0
14962,99.85,13.0,0.47,1.71,99.67,12.99,0.52,1.71,3.0
14963,100.61,13.1,1.13,2.73,97.52,12.97,-1.78,-0.25,3.0
14964,118.57,10.98,6.57,8.21,117.59,11.48,5.26,6.83,5.0
14965,101.12,13.26,1.21,3.07,101.47,13.32,1.44,3.23,3.0
14966,101.96,14.07,1.21,3.14,100.41,14.17,-0.12,1.73,3.0
14967,99.89,13.26,1.4,3.49,101.23,13.06,3.05,5.06,3.0
14968,92.85,11.71,-0.17,3.45,91.5,11.47,-1.79,1.68,1.0
14969,104.92,12.67,1.92,5.38,100.07,12.65,-2.3,1.02,3.0
14970,99.27,12.37,-0.46,3.04,99.05,12.31,-1.06,2.3,3.0
14971,102.72,13.0,1.55,5.21,100.05,13.46,-0.58,2.94,3.0
14972,101.49,13.18,1.49,4.63,101.46,12.76,1.73,4.75,3.0
14973,94.05,14.02,-0.82,2.22,94.47,13.91,-0.42,2.5,2.0
14974,98.43,11.82,1.36,5.16,97.29,11.75,0.93,4.58,3.0
14975,99.39,13.93,0.06,2.35,98.74,13.78,-0.24,1.95,3.0
14976,99.86,13.8,1.34,2.83,98.27,13.51,0.19,1.62,3.0
14977,103.17,14.34,3.48,5.48,99.39,13.98,-0.1,1.83,3.0
14978,104.03,13.22,5.64,7.53,98.9,13.09,1.14,2.95,3.0
14979,98.4,13.51,-1.4,0.88,101.5,13.2,1.81,4.0,3.0
14980,100.09,13.9,-0.08,1.66,103.71,13.87,3.68,5.35,3.0
14981,99.71,13.87,0.06,2.16,101.19,13.36,1.59,3.61,3.0
